individual	chr2:27657669:27660984:cluster20233	chr2:27657669:27662179:cluster20233	chr2:27661388:27662179:cluster20233	chr2:27661601:27662179:cluster20233
GTEX-WFON	34	28	14	9
GTEX-1IDJC	84	1	23	9
GTEX-14ABY	43	1	15	5
GTEX-11P82	106	2	26	6
GTEX-QEG4	36	0	10	4
GTEX-12WSM	53	0	18	4
GTEX-1QMI2	51	0	16	5
GTEX-WHPG	64	0	24	6
GTEX-1AX8Z	46	0	14	2
GTEX-14A6H	68	1	17	6
GTEX-11EQ9	57	1	23	6
GTEX-13W46	48	0	18	3
GTEX-13OW5	35	0	13	2
GTEX-1K9T9	33	0	13	2
GTEX-1C475	67	1	21	7
GTEX-1F75W	42	0	14	5
GTEX-17F96	127	0	38	13
GTEX-1B8KE	43	0	13	3
GTEX-14JG6	41	0	16	5
GTEX-1KANA	79	0	20	5
GTEX-X4XX	95	0	30	8
GTEX-1RQEC	64	0	19	6
GTEX-Y5V5	86	0	33	8
GTEX-16YQH	70	0	19	8
GTEX-P78B	57	0	15	3
GTEX-13S7M	45	0	12	2
GTEX-1LB8K	50	0	18	6
GTEX-RWS6	49	0	13	3
GTEX-ZDXO	47	1	12	5
GTEX-1399R	62	1	25	5
GTEX-113JC	34	0	13	4
GTEX-1A32A	30	1	11	2
GTEX-14PJ4	49	1	17	6
GTEX-147F4	42	0	11	4
GTEX-1B933	46	1	17	5
GTEX-1313W	70	0	26	5
GTEX-12ZZY	32	0	12	2
GTEX-1C6WA	95	2	26	8
GTEX-1JKYN	25	0	10	2
GTEX-18A7B	64	0	24	7
GTEX-XBEW	100	2	34	9
GTEX-13X6J	66	2	20	7
GTEX-1S83E	100	0	34	7
GTEX-UTHO	69	0	22	6
GTEX-ZDYS	54	0	18	5
GTEX-1NUQO	58	0	17	7
GTEX-18A6Q	82	0	24	5
GTEX-13FTZ	58	1	18	6
GTEX-1LGOU	66	1	21	5
GTEX-1I4MK	63	1	19	5
GTEX-131XG	58	0	18	6
GTEX-1JMQJ	63	0	19	5
GTEX-16NPX	45	0	19	5
GTEX-1GPI7	64	0	16	4
GTEX-1RAZR	121	1	37	7
GTEX-Y8DK	67	1	19	3
GTEX-1211K	54	0	14	3
GTEX-TSE9	51	1	16	4
GTEX-ZYFG	78	0	24	9
GTEX-1ICG6	102	2	25	7
GTEX-1N2DW	68	0	18	6
GTEX-13O3O	42	0	11	4
GTEX-131XF	49	0	15	5
GTEX-1F75A	83	1	34	9
GTEX-13G51	43	0	10	3
GTEX-WYJK	77	1	26	6
GTEX-ZDTS	33	0	11	3
GTEX-1A3MX	83	1	27	8
GTEX-17GQL	93	1	36	7
GTEX-1FIGZ	47	1	19	5
GTEX-WRHK	104	1	36	11
GTEX-15G1A	130	2	52	12
GTEX-1C6VR	50	0	19	5
GTEX-11UD2	39	0	9	4
GTEX-1KWVE	43	1	18	4
GTEX-17EVQ	71	0	18	7
GTEX-14BIL	59	1	14	7
GTEX-SJXC	103	1	30	7
GTEX-OIZH	75	1	26	7
GTEX-1R9PM	63	1	21	4
GTEX-1LVA9	68	2	24	5
GTEX-1LSNM	104	2	39	6
GTEX-15D79	52	0	17	3
GTEX-1RAZA	82	0	21	6
GTEX-11ZTS	47	0	13	4
GTEX-WYVS	75	0	28	5
GTEX-117YW	62	0	15	5
GTEX-1F6IF	67	0	19	4
GTEX-ZWKS	50	0	13	5
GTEX-1F7RK	34	1	10	2
GTEX-YJ8O	43	0	11	5
GTEX-OOBK	27	0	12	3
GTEX-ZC5H	63	1	26	5
GTEX-QDT8	80	0	20	7
GTEX-1A8FM	43	0	13	2
GTEX-1ICLZ	38	0	8	3
GTEX-1AMEY	80	0	26	7
GTEX-11LCK	56	0	21	4
GTEX-RTLS	60	0	17	7
GTEX-14E6D	45	0	16	4
GTEX-1S82Y	76	2	29	9
GTEX-18A66	46	0	17	4
GTEX-1QAET	66	0	22	6
GTEX-15CHC	52	1	18	3
GTEX-1314G	42	0	10	3
GTEX-ZTPG	41	0	15	3
GTEX-1399U	60	1	18	6
GTEX-YB5K	57	0	17	3
GTEX-1PDJ9	111	0	39	9
GTEX-132Q8	34	1	8	3
GTEX-18A7A	50	1	18	3
GTEX-WOFL	84	0	22	6
GTEX-1RQED	56	1	22	3
GTEX-1GZ4I	105	3	37	9
GTEX-1PBJJ	69	0	20	6
GTEX-13OW8	37	0	14	3
GTEX-145MH	36	0	14	5
GTEX-12WSG	33	0	10	2
GTEX-12WSJ	60	1	16	3
GTEX-144GM	34	1	10	2
GTEX-1LVAM	66	0	24	6
GTEX-133LE	45	0	12	4
GTEX-1K2DU	160	3	54	8
GTEX-14PII	48	0	11	4
GTEX-13OW6	46	1	15	4
GTEX-ZPCL	56	0	19	3
GTEX-1C4CL	56	1	24	7
GTEX-U3ZM	89	0	29	5
GTEX-14PN4	27	0	7	1
GTEX-1128S	65	0	19	6
GTEX-1QP66	150	2	49	14
GTEX-QVJO	34	0	10	2
GTEX-147JS	45	0	10	4
GTEX-QCQG	82	0	20	8
GTEX-R55C	60	1	19	6
GTEX-1MCQQ	53	0	18	4
GTEX-117XS	36	1	12	3
GTEX-ZVZP	113	2	37	11
GTEX-11ONC	43	0	17	4
GTEX-14LLW	47	0	14	5
GTEX-13QIC	30	0	10	1
GTEX-12WSL	50	1	14	2
GTEX-12KS4	41	0	13	2
GTEX-111YS	68	1	29	8
GTEX-139TS	55	1	22	3
GTEX-1B8L1	47	0	19	5
GTEX-14JG1	63	0	20	5
GTEX-17JCI	41	0	15	3
GTEX-13OVG	84	0	24	7
GTEX-12ZZX	44	0	16	2
GTEX-YECK	59	0	16	7
GTEX-1GN2E	36	0	11	3
GTEX-1JMQK	59	0	16	4
GTEX-1399S	97	0	29	9
GTEX-P4QT	54	0	18	4
GTEX-1A8G7	55	0	18	3
GTEX-14DAQ	64	1	22	6
GTEX-1GF9V	64	0	21	8
GTEX-RUSQ	6	0	1	1
GTEX-1ICLY	30	1	10	3
GTEX-YFC4	48	0	13	4
