individual	chr6:75237988:75240301:cluster15620	chr6:75237988:75241176:cluster15620	chr6:75240385:75241123:cluster15620	chr6:75240385:75241176:cluster15620
GTEX-WWTW	567	67	0	220
GTEX-13OVL	443	2	0	377
GTEX-QEG4	222	2	1	197
GTEX-R55E	574	2	2	491
GTEX-YEC4	312	2	0	244
GTEX-ZYT6	441	3	0	351
GTEX-1KD4Q	536	2	1	461
GTEX-12WSM	649	5	2	531
GTEX-14PJO	529	3	2	436
GTEX-13W46	443	3	1	400
GTEX-16MTA	340	2	1	279
GTEX-1F88E	560	2	3	449
GTEX-14BMV	728	4	4	591
GTEX-1F75W	595	4	1	507
GTEX-14JG6	427	3	1	361
GTEX-R55D	403	2	1	361
GTEX-14PQA	600	3	0	507
GTEX-S33H	431	3	2	348
GTEX-13JVG	311	3	1	282
GTEX-1122O	276	1	1	246
GTEX-ZAB5	204	1	0	169
GTEX-11TTK	290	1	0	244
GTEX-139T6	320	2	2	281
GTEX-15UF6	648	3	3	520
GTEX-P4PP	445	4	2	356
GTEX-PWN1	97	1	0	82
GTEX-1OFPY	329	2	1	302
GTEX-1F75B	464	2	1	355
GTEX-11NUK	408	2	0	344
GTEX-WZTO	1025	4	1	861
GTEX-12ZZY	427	4	2	337
GTEX-XQ3S	639	5	1	492
GTEX-1C6WA	752	5	3	595
GTEX-18A7B	574	4	2	501
GTEX-1LSNL	421	2	0	348
GTEX-UTHO	236	1	1	210
GTEX-1NUQO	652	4	3	541
GTEX-1GF9W	470	4	0	380
GTEX-13FTZ	563	2	1	490
GTEX-17EUY	262	0	1	219
GTEX-13FTY	658	5	2	535
GTEX-15ETS	538	2	2	457
GTEX-1212Z	475	4	1	388
GTEX-1GPI7	499	4	1	384
GTEX-1GN1W	722	6	3	555
GTEX-1S82P	413	1	1	331
GTEX-Y8DK	698	4	1	601
GTEX-OHPL	354	3	1	266
GTEX-1211K	369	3	2	291
GTEX-ZYFG	576	4	0	479
GTEX-TMMY	391	2	2	330
GTEX-13O3O	571	1	1	475
GTEX-T5JC	1897	6	3	1599
GTEX-ZV6S	446	5	2	359
GTEX-WEY5	1507	13	8	1190
GTEX-14BMU	592	4	3	505
GTEX-1QP9N	751	2	2	642
GTEX-131XF	379	3	2	330
GTEX-P44G	197	1	0	152
